Duration,Protocol,Service,Flag,Scr_bytes,Dts_bytes,Time,Source,Destination,Length,Info
0,0,0,0,0,100,5.059723,52.123.190.70,10.10.10.10,100,Application Data
0,0,0,0,54,0,5.112658,10.10.10.10,52.123.190.70,54,54743  >  443 [ACK] Seq=58 Ack=47 Win=512 Len=0
0,1,0,0,139,0,5.263809,10.10.10.198,224.0.0.251,139,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,1,0,0,159,0,5.263809,fe80::1ce3:1565:cc5a:7f93,ff02::fb,159,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
1,1,0,0,167,0,5.565022,10.10.10.105,239.255.255.250,167,M-SEARCH * HTTP/1.1 
0,1,0,0,431,0,6.591469,10.10.10.118,239.255.255.250,431,NOTIFY * HTTP/1.1 
0,1,0,0,440,0,6.591932,10.10.10.118,239.255.255.250,440,NOTIFY * HTTP/1.1 
0,1,0,0,483,0,6.592254,10.10.10.118,239.255.255.250,483,NOTIFY * HTTP/1.1 
0,1,0,0,431,0,6.597612,10.10.10.118,239.255.255.250,431,NOTIFY * HTTP/1.1 
0,1,0,0,440,0,6.597612,10.10.10.118,239.255.255.250,440,NOTIFY * HTTP/1.1 
0,1,0,0,483,0,6.597612,10.10.10.118,239.255.255.250,483,NOTIFY * HTTP/1.1 
0,1,0,0,511,0,6.597612,10.10.10.118,239.255.255.250,511,NOTIFY * HTTP/1.1 
0,1,0,0,511,0,6.597612,10.10.10.118,239.255.255.250,511,NOTIFY * HTTP/1.1 
0,1,0,0,497,0,6.693579,10.10.10.118,239.255.255.250,497,NOTIFY * HTTP/1.1 
0,1,0,0,497,0,6.701597,10.10.10.118,239.255.255.250,497,NOTIFY * HTTP/1.1 
0,1,0,0,495,0,6.701597,10.10.10.118,239.255.255.250,495,NOTIFY * HTTP/1.1 
0,1,0,0,495,0,6.702262,10.10.10.118,239.255.255.250,495,NOTIFY * HTTP/1.1 
0,3,0,0,367,0,7.109293,RuckusWirele_0a:34:c0,Broadcast,367,Ethernet II
1,1,0,0,167,0,7.518806,10.10.10.105,239.255.255.250,167,M-SEARCH * HTTP/1.1 
0,1,0,0,124,0,8.74048,10.10.10.149,224.0.0.251,124,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
1,1,0,0,144,0,8.742807,fe80::1013:b465:7bcf:a70d,ff02::fb,144,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
0,1,0,0,96,0,9.55843,10.10.10.105,224.0.0.251,96,"Standard query 0x0006 PTR _spotify-social-listening._tcp.local, ""QM"" question"
0,1,0,0,116,0,9.55893,fe80::b877:e4ff:fe5f:565f,ff02::fb,116,"Standard query 0x0006 PTR _spotify-social-listening._tcp.local, ""QM"" question"
0,1,0,0,124,0,9.663031,10.10.10.149,224.0.0.251,124,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
1,1,0,0,144,0,9.665221,fe80::1013:b465:7bcf:a70d,ff02::fb,144,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,1,0,0,82,0,10.377629,10.10.10.105,10.10.10.255,82,57621  >  57621 Len=40
0,0,0,0,113,0,10.428464,20.42.144.52,10.10.10.10,113,Application Data
0,0,0,0,0,120,10.429998,10.10.10.10,20.42.144.52,120,Application Data
0,0,0,0,60,0,10.505319,20.42.144.52,10.10.10.10,60,443  >  54956 [ACK] Seq=60 Ack=67 Win=251 Len=0
0,1,0,0,0,216,10.515067,10.10.10.10,239.255.255.250,216,M-SEARCH * HTTP/1.1 
1,1,0,0,0,217,10.562689,10.10.10.10,239.255.255.250,217,M-SEARCH * HTTP/1.1 
0,1,0,0,0,216,11.527664,10.10.10.10,239.255.255.250,216,M-SEARCH * HTTP/1.1 
1,1,0,0,0,217,11.574114,10.10.10.10,239.255.255.250,217,M-SEARCH * HTTP/1.1 
0,1,0,0,387,0,12.11896,10.10.10.251,10.10.10.255,387,36075  >  60000 Len=345
0,3,0,0,46,0,12.325552,10.10.10.92,224.0.0.251,46,Membership Report group 224.0.0.251
0,1,0,0,124,0,12.325552,10.10.10.92,224.0.0.251,124,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
0,1,0,0,144,0,12.325552,fe80::104c:d4eb:b572:29cb,ff02::fb,144,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
0,1,0,0,216,0,12.531598,10.10.10.10,239.255.255.250,216,M-SEARCH * HTTP/1.1 
0,1,0,0,217,0,12.578275,10.10.10.10,239.255.255.250,217,M-SEARCH * HTTP/1.1 
0,1,0,0,124,0,12.736287,10.10.10.149,224.0.0.251,124,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,1,0,0,144,0,12.738327,fe80::1013:b465:7bcf:a70d,ff02::fb,144,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,1,0,0,431,0,13.041098,10.10.10.118,239.255.255.250,431,NOTIFY * HTTP/1.1 
0,1,0,0,440,0,13.041501,10.10.10.118,239.255.255.250,440,NOTIFY * HTTP/1.1 
0,1,0,0,483,0,13.042505,10.10.10.118,239.255.255.250,483,NOTIFY * HTTP/1.1 
0,1,0,0,511,0,13.042505,10.10.10.118,239.255.255.250,511,NOTIFY * HTTP/1.1 
0,1,0,0,497,0,13.15438,10.10.10.118,239.255.255.250,497,NOTIFY * HTTP/1.1 
0,1,0,0,124,0,13.350476,10.10.10.92,224.0.0.251,124,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,1,0,0,216,0,13.534925,10.10.10.10,239.255.255.250,216,M-SEARCH * HTTP/1.1 
0,1,0,0,217,0,13.581545,10.10.10.10,239.255.255.250,217,M-SEARCH * HTTP/1.1 
2,3,0,0,216,0,13.901579,10.10.10.10,10.10.10.255,216,"Dropbox LAN sync Discovery Protocol, JSON"
0,1,0,0,431,0,15.604992,10.10.10.118,239.255.255.250,431,NOTIFY * HTTP/1.1 
0,1,0,0,440,0,15.604992,10.10.10.118,239.255.255.250,440,NOTIFY * HTTP/1.1 
0,1,0,0,483,0,15.604992,10.10.10.118,239.255.255.250,483,NOTIFY * HTTP/1.1 
0,1,0,0,511,0,15.604992,10.10.10.118,239.255.255.250,511,NOTIFY * HTTP/1.1 
0,1,0,0,497,0,15.605813,10.10.10.118,239.255.255.250,497,NOTIFY * HTTP/1.1 
1,1,0,0,495,0,15.705686,10.10.10.118,239.255.255.250,495,NOTIFY * HTTP/1.1 
0,1,0,0,124,0,16.321697,10.10.10.92,224.0.0.251,124,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
1,1,0,0,144,0,16.321697,fe80::104c:d4eb:b572:29cb,ff02::fb,144,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,3,0,0,46,0,16.842755,10.10.10.198,224.0.0.251,46,Membership Report group 224.0.0.251
0,1,0,0,139,0,16.842755,10.10.10.198,224.0.0.251,139,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
0,1,0,0,159,0,16.842755,fe80::1ce3:1565:cc5a:7f93,ff02::fb,159,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
0,0,0,0,333,0,16.903738,31.13.89.53,10.10.10.10,333,Application Data
0,0,0,0,0,54,16.955137,10.10.10.10,31.13.89.53,54,54790  >  443 [ACK] Seq=70 Ack=351 Win=259 Len=0
0,0,0,0,0,126,16.989552,10.10.10.10,31.13.89.53,126,Application Data
0,3,0,0,367,0,17.040898,RuckusWirele_0a:34:c0,Broadcast,367,Ethernet II
0,1,0,0,387,0,17.044553,10.10.10.251,10.10.10.255,387,36075  >  60000 Len=345
1,0,0,0,60,0,17.105657,31.13.89.53,10.10.10.10,60,443  >  54790 [ACK] Seq=351 Ack=142 Win=314 Len=0
0,1,0,0,139,0,17.862454,10.10.10.198,224.0.0.251,139,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
1,1,0,0,159,0,17.862454,fe80::1ce3:1565:cc5a:7f93,ff02::fb,159,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,0,0,0,812,0,18.653554,104.215.78.13,10.10.10.10,812,Application Data
2,0,0,0,0,54,18.653885,10.10.10.10,104.215.78.13,54,55009  >  443 [ACK] Seq=1 Ack=759 Win=1024 Len=0
0,0,0,0,0,78,20.640969,10.10.10.10,188.172.214.47,78,"54656  >  5938 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=24"
0,0,0,0,60,0,20.698832,188.172.214.47,10.10.10.10,60,5938  >  54656 [ACK] Seq=1 Ack=25 Win=878 Len=0
0,0,0,0,78,0,20.698832,188.172.214.47,10.10.10.10,78,"5938  >  54656 [PSH, ACK] Seq=1 Ack=25 Win=878 Len=24"
0,0,0,0,0,54,20.750394,10.10.10.10,188.172.214.47,54,54656  >  5938 [ACK] Seq=25 Ack=25 Win=510 Len=0
0,1,0,0,139,0,20.823514,10.10.10.198,224.0.0.251,139,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,1,0,0,159,0,20.825188,fe80::1ce3:1565:cc5a:7f93,ff02::fb,159,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,0,0,0,60,0,21.296056,40.79.132.142,10.10.10.10,60,"8883  >  55008 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0"
0,0,0,0,0,54,21.296348,10.10.10.10,40.79.132.142,54,55008  >  8883 [ACK] Seq=1 Ack=2 Win=259 Len=0
0,0,0,0,0,54,21.296894,10.10.10.10,40.79.132.142,54,"55008  >  8883 [FIN, ACK] Seq=1 Ack=2 Win=259 Len=0"
0,0,0,0,60,0,21.481004,40.79.132.142,10.10.10.10,60,8883  >  55008 [ACK] Seq=2 Ack=2 Win=501 Len=0
0,1,0,0,0,84,21.75654,10.10.10.10,9.9.9.9,84,Standard query 0x90dc A EURO02.azure-devices.net
0,1,0,0,0,84,21.786177,10.10.10.10,8.8.8.8,84,Standard query 0x90dc A EURO02.azure-devices.net
0,0,0,0,0,97,21.832995,10.10.10.10,20.7.2.167,97,Application Data
0,1,0,0,187,0,21.835773,9.9.9.9,10.10.10.10,187,Standard query response 0x90dc A EURO02.azure-devices.net CNAME gateway-prod-gw-francecentral-2-tls10-g2.francecentral.cloudapp.azure.com A 40.79.132.142
0,0,0,0,0,66,21.839781,10.10.10.10,40.79.132.142,66,55010  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
0,1,0,0,187,0,21.84013,8.8.8.8,10.10.10.10,187,Standard query response 0x90dc A EURO02.azure-devices.net CNAME gateway-prod-gw-francecentral-2-tls10-g2.francecentral.cloudapp.azure.com A 40.79.132.142
0,0,0,0,228,0,21.981848,20.7.2.167,10.10.10.10,228,Application Data
0,0,0,0,0,54,22.037374,10.10.10.10,20.7.2.167,54,54666  >  443 [ACK] Seq=44 Ack=175 Win=509 Len=0
0,1,0,0,387,0,22.051551,10.10.10.251,10.10.10.255,387,36075  >  60000 Len=345
0,0,0,0,66,0,22.059026,40.79.132.142,10.10.10.10,66,"443  >  55010 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
0,0,0,0,0,54,22.059326,10.10.10.10,40.79.132.142,54,55010  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0
0,0,0,0,0,266,22.061193,10.10.10.10,40.79.132.142,266,Client Hello (SNI=euro02.azure-devices.net)
0,0,0,0,60,0,22.299579,40.79.132.142,10.10.10.10,60,443  >  55010 [ACK] Seq=1 Ack=213 Win=64128 Len=0
0,0,0,0,1466,0,22.30231,40.79.132.142,10.10.10.10,1466,Server Hello
0,0,0,0,1466,0,22.30231,40.79.132.142,10.10.10.10,1466,"443  >  55010 [PSH, ACK] Seq=1413 Ack=213 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
0,0,0,0,712,0,22.30231,40.79.132.142,10.10.10.10,712,"Certificate, Server Key Exchange, Server Hello Done"
0,0,0,0,0,54,22.302971,10.10.10.10,40.79.132.142,54,55010  >  443 [ACK] Seq=213 Ack=2825 Win=131072 Len=0
0,0,0,0,0,147,22.306898,10.10.10.10,40.79.132.142,147,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
0,0,0,0,105,0,22.488502,40.79.132.142,10.10.10.10,105,"Change Cipher Spec, Encrypted Handshake Message"
0,0,0,0,0,293,22.490436,10.10.10.10,40.79.132.142,293,Application Data
0,0,0,0,307,0,22.666484,40.79.132.142,10.10.10.10,307,Application Data
0,0,0,0,0,528,22.667644,10.10.10.10,40.79.132.142,528,Application Data
0,1,0,0,119,0,22.870474,10.10.10.105,224.0.0.251,119,"Standard query 0x0006 PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
2,0,0,0,60,0,22.885736,40.79.132.142,10.10.10.10,60,443  >  55010 [ACK] Seq=3787 Ack=1019 Win=64128 Len=0
0,0,0,0,0,112,24.579522,10.10.10.10,52.112.107.137,112,Application Data
0,0,0,0,101,0,24.627359,52.112.107.137,10.10.10.10,101,Application Data
1,0,0,0,0,54,24.673498,10.10.10.10,52.112.107.137,54,54640  >  443 [ACK] Seq=59 Ack=48 Win=510 Len=0
0,0,0,0,124,0,25.240172,31.13.89.53,10.10.10.10,124,Application Data
0,0,0,0,0,54,25.287093,10.10.10.10,31.13.89.53,54,54790  >  443 [ACK] Seq=142 Ack=421 Win=259 Len=0
0,0,0,0,0,78,25.69603,10.10.10.10,188.172.214.47,78,"54656  >  5938 [PSH, ACK] Seq=25 Ack=25 Win=510 Len=24"
2,0,0,0,60,0,25.870371,188.172.214.47,10.10.10.10,60,5938  >  54656 [ACK] Seq=25 Ack=49 Win=878 Len=0
0,3,0,0,42,0,28.026178,Intel_1e:c4:27,Broadcast,42,Who has 10.10.10.254? Tell 10.10.10.10
0,3,0,0,60,0,28.028394,Sonicwall_1b:3a:38,Intel_1e:c4:27,60,10.10.10.254 is at c0:ea:e4:1b:3a:38
0,2,0,0,86,0,28.034773,fe80::1c40:4983:1cea:1e20,ff02::1:ff1b:3a38,86,Neighbor Solicitation for fe80::c2ea:e4ff:fe1b:3a38 from 60:dd:8e:1e:c4:27
1,2,0,0,86,0,28.036645,fe80::c2ea:e4ff:fe1b:3a38,fe80::1c40:4983:1cea:1e20,86,"Neighbor Advertisement fe80::c2ea:e4ff:fe1b:3a38 (rtr, sol, ovr) is at c0:ea:e4:1b:3a:38"
0,1,0,0,96,0,29.528552,10.10.10.105,224.0.0.251,96,"Standard query 0x0007 PTR _spotify-social-listening._tcp.local, ""QM"" question"
0,1,0,0,116,0,29.529042,fe80::b877:e4ff:fe5f:565f,ff02::fb,116,"Standard query 0x0007 PTR _spotify-social-listening._tcp.local, ""QM"" question"
0,1,0,0,139,0,29.833829,10.10.10.198,224.0.0.251,139,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,0,0,0,123,0,29.99557,10.10.10.10,31.13.89.53,123,Application Data
0,0,0,0,0,60,30.024587,31.13.89.53,10.10.10.10,60,443  >  54790 [ACK] Seq=421 Ack=211 Win=314 Len=0
0,0,0,0,0,125,30.077204,31.13.89.53,10.10.10.10,125,Application Data
1,0,0,0,54,0,30.120505,10.10.10.10,31.13.89.53,54,54790  >  443 [ACK] Seq=211 Ack=492 Win=259 Len=0
1,3,0,0,46,0,30.857598,10.10.10.90,224.0.0.251,46,Membership Report group 224.0.0.251
0,1,0,0,124,0,31.984147,10.10.10.90,224.0.0.251,124,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,1,0,0,144,0,31.984688,fe80::89c:9e92:da05:78cb,ff02::fb,144,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,1,0,0,387,0,32.090642,10.10.10.251,10.10.10.255,387,36075  >  60000 Len=345
0,0,0,0,172,0,32.507398,162.125.21.3,10.10.10.10,172,Application Data
0,0,0,0,0,100,32.508115,10.10.10.10,162.125.21.3,100,Application Data
0,0,0,0,0,85,32.509305,10.10.10.10,162.125.21.3,85,Encrypted Alert
0,1,0,0,0,76,32.515826,10.10.10.10,9.9.9.9,76,Standard query 0x834f A bolt.dropbox.com
0,1,0,0,0,76,32.537064,10.10.10.10,8.8.8.8,76,Standard query 0x834f A bolt.dropbox.com
0,1,0,0,113,0,32.556604,9.9.9.9,10.10.10.10,113,Standard query response 0x834f A bolt.dropbox.com CNAME bolt.v.dropbox.com A 162.125.21.3
0,0,0,0,0,66,32.568156,10.10.10.10,162.125.21.3,66,55011  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
0,0,0,0,60,0,32.601062,162.125.21.3,10.10.10.10,60,443  >  54665 [ACK] Seq=119 Ack=47 Win=202 Len=0
0,0,0,0,85,0,32.605107,162.125.21.3,10.10.10.10,85,Encrypted Alert
0,0,0,0,60,0,32.605107,162.125.21.3,10.10.10.10,60,"443  >  54665 [RST, ACK] Seq=150 Ack=79 Win=202 Len=0"
0,0,0,0,0,54,32.605431,10.10.10.10,162.125.21.3,54,"54665  >  443 [RST, ACK] Seq=79 Ack=150 Win=0 Len=0"
0,1,0,0,113,0,32.648576,8.8.8.8,10.10.10.10,113,Standard query response 0x834f A bolt.dropbox.com CNAME bolt.v.dropbox.com A 162.125.21.3
0,0,0,0,66,0,32.690266,162.125.21.3,10.10.10.10,66,"443  >  55011 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=512"
0,0,0,0,0,54,32.690394,10.10.10.10,162.125.21.3,54,55011  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0
0,0,0,0,0,424,32.691789,10.10.10.10,162.125.21.3,424,Client Hello (SNI=bolt.dropbox.com)
0,0,0,0,60,0,32.886222,162.125.21.3,10.10.10.10,60,443  >  55011 [ACK] Seq=1 Ack=371 Win=65536 Len=0
0,0,0,0,178,0,32.886222,162.125.21.3,10.10.10.10,178,"Server Hello, Change Cipher Spec, Encrypted Handshake Message"
0,0,0,0,0,105,32.888054,10.10.10.10,162.125.21.3,105,"Change Cipher Spec, Encrypted Handshake Message"
0,0,0,0,0,1466,32.889272,10.10.10.10,162.125.21.3,1466,"Application Data, Application Data, Application Data"
0,0,0,0,0,1466,32.889272,10.10.10.10,162.125.21.3,1466,55011  >  443 [ACK] Seq=1834 Ack=125 Win=131072 Len=1412 [TCP segment of a reassembled PDU]
0,0,0,0,0,1144,32.889272,10.10.10.10,162.125.21.3,1144,Application Data
0,0,0,0,60,0,32.977616,162.125.21.3,10.10.10.10,60,443  >  55011 [ACK] Seq=125 Ack=1834 Win=65536 Len=0
0,0,0,0,66,0,32.977616,162.125.21.3,10.10.10.10,66,[TCP Dup ACK 185#1] 443  >  55011 [ACK] Seq=125 Ack=1834 Win=65536 Len=0 SLE=3246 SRE=4336
0,0,0,0,60,0,32.977616,162.125.21.3,10.10.10.10,60,443  >  55011 [ACK] Seq=125 Ack=4336 Win=63488 Len=0
0,0,0,0,138,0,32.977616,162.125.21.3,10.10.10.10,138,Application Data
0,0,0,0,0,92,32.978251,10.10.10.10,162.125.21.3,92,Application Data
0,3,0,0,42,0,33.043291,Intel_1e:c4:27,Broadcast,42,Who has 10.10.10.254? Tell 10.10.10.10
0,2,0,0,86,0,33.052341,fe80::c2ea:e4ff:fe1b:3a38,fe80::1c40:4983:1cea:1e20,86,Neighbor Solicitation for fe80::1c40:4983:1cea:1e20 from c0:ea:e4:1b:3a:38
0,2,0,0,0,86,33.052624,fe80::1c40:4983:1cea:1e20,fe80::c2ea:e4ff:fe1b:3a38,86,"Neighbor Advertisement fe80::1c40:4983:1cea:1e20 (sol, ovr) is at 60:dd:8e:1e:c4:27"
0,3,0,0,60,0,33.07303,Sonicwall_1b:3a:38,Intel_1e:c4:27,60,10.10.10.254 is at c0:ea:e4:1b:3a:38
0,0,0,0,60,0,33.102587,162.125.21.3,10.10.10.10,60,443  >  55011 [ACK] Seq=209 Ack=4374 Win=66560 Len=0
0,2,0,0,86,0,33.179726,fe80::1c40:4983:1cea:1e20,ff02::1:ff1b:3a38,86,Neighbor Solicitation for fe80::c2ea:e4ff:fe1b:3a38 from 60:dd:8e:1e:c4:27
2,2,0,0,86,0,33.183977,fe80::c2ea:e4ff:fe1b:3a38,fe80::1c40:4983:1cea:1e20,86,"Neighbor Advertisement fe80::c2ea:e4ff:fe1b:3a38 (rtr, sol, ovr) is at c0:ea:e4:1b:3a:38"
2,1,0,0,124,0,35.056062,10.10.10.90,224.0.0.251,124,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
0,0,0,0,242,0,36.892922,31.13.89.53,10.10.10.10,242,Application Data
0,0,0,0,0,126,36.914333,10.10.10.10,31.13.89.53,126,Application Data
0,0,0,0,60,0,36.961793,31.13.89.53,10.10.10.10,60,443  >  54790 [ACK] Seq=680 Ack=283 Win=314 Len=0
